#date+time,051-pwl,051-surge,051-wsd,051-wdr
"03-02-2011 1842",1.275,-0.185,NA,NA
"03-02-2011 1848",1.282,-0.184,NA,NA
"03-02-2011 1854",1.285,-0.186,NA,NA
"03-02-2011 1900",1.292,-0.185,3.200,350
"03-02-2011 1906",1.294,-0.188,NA,NA
"03-02-2011 1912",1.298,-0.189,NA,NA
"03-02-2011 1918",1.300,-0.192,NA,NA
"03-02-2011 1924",1.305,-0.192,NA,NA
"03-02-2011 1930",1.313,-0.189,NA,NA
"03-02-2011 1936",1.323,-0.183,NA,NA
"03-02-2011 1942",1.322,-0.188,NA,NA
"03-02-2011 1948",1.317,-0.198,NA,NA
"03-02-2011 1954",1.327,-0.192,NA,NA
"03-02-2011 2000",1.333,-0.190,3.300,3
"03-02-2011 2006",1.339,-0.187,NA,NA
"03-02-2011 2012",1.341,-0.189,NA,NA
"03-02-2011 2018",1.335,-0.198,NA,NA
"03-02-2011 2024",1.334,-0.202,NA,NA
"03-02-2011 2030",1.334,-0.205,NA,NA
"03-02-2011 2036",1.332,-0.210,NA,NA
"03-02-2011 2042",1.333,-0.212,NA,NA
"03-02-2011 2048",1.334,-0.214,NA,NA
"03-02-2011 2054",1.339,-0.211,NA,NA
"03-02-2011 2100",1.343,-0.209,3.300,18
"03-02-2011 2106",1.346,-0.208,NA,NA
"03-02-2011 2112",1.341,-0.215,NA,NA
"03-02-2011 2118",1.337,-0.221,NA,NA
"03-02-2011 2124",1.347,-0.213,NA,NA
"03-02-2011 2130",1.347,-0.214,NA,NA
"03-02-2011 2136",1.347,-0.216,NA,NA
"03-02-2011 2142",1.347,-0.217,NA,NA
"03-02-2011 2148",1.347,-0.218,NA,NA
"03-02-2011 2154",1.351,-0.215,NA,NA
"03-02-2011 2200",1.347,-0.220,4.300,26
"03-02-2011 2206",1.343,-0.224,NA,NA
"03-02-2011 2212",1.342,-0.226,NA,NA
"03-02-2011 2218",1.345,-0.223,NA,NA
"03-02-2011 2224",1.345,-0.223,NA,NA
"03-02-2011 2230",1.348,-0.221,NA,NA
"03-02-2011 2236",1.346,-0.223,NA,NA
"03-02-2011 2242",1.343,-0.226,NA,NA
"03-02-2011 2248",1.346,-0.222,NA,NA
"03-02-2011 2254",1.345,-0.223,NA,NA
"03-02-2011 2300",1.338,-0.230,4.400,26
"03-02-2011 2306",1.339,-0.228,NA,NA
"03-02-2011 2312",1.333,-0.234,NA,NA
"03-02-2011 2318",1.329,-0.237,NA,NA
"03-02-2011 2324",1.326,-0.239,NA,NA
"03-02-2011 2330",1.326,-0.239,NA,NA
"03-02-2011 2336",1.324,-0.240,NA,NA
"03-02-2011 2342",1.325,-0.238,NA,NA
"03-02-2011 2348",1.329,-0.233,NA,NA
"03-02-2011 2354",1.329,-0.232,NA,NA
"03-03-2011 0000",1.330,-0.230,2.800,24
"03-03-2011 0006",1.332,-0.227,NA,NA
"03-03-2011 0012",1.329,-0.228,NA,NA
"03-03-2011 0018",1.331,-0.225,NA,NA
"03-03-2011 0024",1.329,-0.226,NA,NA
"03-03-2011 0030",1.327,-0.226,NA,NA
"03-03-2011 0036",1.328,-0.224,NA,NA
"03-03-2011 0042",1.328,-0.223,NA,NA
"03-03-2011 0048",1.327,-0.222,NA,NA
"03-03-2011 0054",1.327,-0.221,NA,NA
"03-03-2011 0100",1.324,-0.222,3.700,29
"03-03-2011 0106",1.320,-0.225,NA,NA
"03-03-2011 0112",1.318,-0.226,NA,NA
"03-03-2011 0118",1.315,-0.227,NA,NA
"03-03-2011 0124",1.313,-0.228,NA,NA
"03-03-2011 0130",1.311,-0.229,NA,NA
"03-03-2011 0136",1.309,-0.230,NA,NA
"03-03-2011 0142",1.307,-0.230,NA,NA
"03-03-2011 0148",1.303,-0.233,NA,NA
"03-03-2011 0154",1.306,-0.229,NA,NA
"03-03-2011 0200",1.308,-0.226,2.300,37
"03-03-2011 0206",1.314,-0.219,NA,NA
"03-03-2011 0212",1.314,-0.219,NA,NA
"03-03-2011 0218",1.320,-0.212,NA,NA
"03-03-2011 0224",1.316,-0.215,NA,NA
"03-03-2011 0230",1.317,-0.214,NA,NA
"03-03-2011 0236",1.317,-0.214,NA,NA
"03-03-2011 0242",1.318,-0.212,NA,NA
"03-03-2011 0248",1.324,-0.206,NA,NA
"03-03-2011 0254",1.329,-0.201,NA,NA
"03-03-2011 0300",1.330,-0.200,2.500,33
"03-03-2011 0306",1.338,-0.193,NA,NA
"03-03-2011 0312",1.343,-0.188,NA,NA
"03-03-2011 0318",1.347,-0.184,NA,NA
"03-03-2011 0324",1.350,-0.182,NA,NA
"03-03-2011 0330",1.348,-0.184,NA,NA
"03-03-2011 0336",1.354,-0.179,NA,NA
"03-03-2011 0342",1.356,-0.178,NA,NA
"03-03-2011 0348",1.356,-0.178,NA,NA
"03-03-2011 0354",1.357,-0.178,NA,NA
"03-03-2011 0400",1.356,-0.180,2.000,47
"03-03-2011 0406",1.361,-0.176,NA,NA
"03-03-2011 0412",1.363,-0.175,NA,NA
"03-03-2011 0418",1.364,-0.175,NA,NA
"03-03-2011 0424",1.369,-0.171,NA,NA
"03-03-2011 0430",1.369,-0.172,NA,NA
"03-03-2011 0436",1.371,-0.171,NA,NA
"03-03-2011 0442",1.376,-0.167,NA,NA
"03-03-2011 0448",1.373,-0.171,NA,NA
"03-03-2011 0454",1.378,-0.167,NA,NA
"03-03-2011 0500",1.382,-0.164,2.400,55
"03-03-2011 0506",1.386,-0.161,NA,NA
"03-03-2011 0512",1.388,-0.160,NA,NA
"03-03-2011 0518",1.388,-0.161,NA,NA
